ID,Subject ID,Subject Name,Modules,SLO,Expected Outcome
11,ITE1014, Human Computer Interaction ,"Perceptual-Motor Interaction: Some Implications for Human–Computer Interaction, Human Information Processing: An Overview for Human–Computer Interaction, Mental Models in Human–Computer Interaction, Task Loading and Stress in Human–Computer Interaction, Choices and Decisions of Computer Users. Input Technologies and Techniques,  Sensor- and Recognition-Based Input for Interaction,  Visual Displays, Haptic Interface, Non-speech Auditory and Cross modal Output, Network-Based Interaction,  Wearable Computers,  Design of Fixed, Portable, and Mobile Information Devices User Experience Requirements Analysis within the Usability Engineering Lifecycle, Task Analysis, Contextual Design, Grounded Theory Method in Human–Computer Interaction and Computer-Supported Cooperative Work, An Ethnographic Approach to Design Putting Personas to Work, Prototyping Tools and Techniques, Scenario-Based Design, Participatory Design Usability Testing, Usability for Engaged Users, Survey Design and Implementation in HCI, Inspection-Based Evaluations,  Model-Based Evaluation Human–Computer Interaction in Health Care, Motor Vehicle–Driver Interfaces, Human–Computer Interaction in Aerospace,  Human–Computer Interaction for Kids Augmenting Cognition in HCI, Social Networks and Social Media, Changing Human–Computer Interaction to Change the World, Ubiquitous Computing.",SLO2 SLO6,Comprehend the concepts of Human computer interaction for computer utlizalition. Understand the various input and output techniques for Human Computer interaction.  Understand the various input and output techniques for Human Computer interaction. Explore the various tools for effective design and development of Human Computer Interaction systems.  Learn and understand the various testing strategies for Human Computer Interaction. Explore the domain specific applications to gain knowledge to build Human Computer Interaction systems. Understand and analyse the concepts of emerging phenomena in HCI. Design and Develop an application which will address the contemporary issues. 
12,ITE1015, Soft Computing ,"Introduction to Soft computing, basics. Neural networks, introduction, evolution, basic models, terminologies of ANN, Pitts model, Perceptron, Adaline, Back-propagation network, RBF network. Pattern association, auto & hetero associative memory models, BAM, Hopfiled network.  Self-organizing maps, LVQ network, ART network. Introduction, fuzzy sets, operations, fuzzy relations, membership functions, fuzzification & defuzzification. Fuzzy truth values, fuzzy propositions, fuzzy rules, formation, decomposition and aggregation of rules, fuzzy reasoning, FIS, Fuzzy Decision Making. Information & decision systems, indiscernability, set approximations, properties of rough sets, rough memberships, reducts, and approximations. Genetic algorithms, hybrid systems. ",SLO1 SLO2 SLO7, Identify the essential components of soft computing. Describe and recognize the various types of memory models associated with neural networks.  Demonstrate various unsupervised learning techniques. Examine the fundamentals of fuzzy sets and operations associated with them . Establish fuzzy rules for decision making in real-time scenarios. Investigate the idea behind rough sets. Investigate the idea behind searching strategies.  Determine and construct a soft computing system required to address a computational task.
13,ITE1016, Mobile Application Development ,"A brief history of mobile-Mobile ecosystem, Designing for context, Developing a Mobile Strategy, Mobile Information Architecture, Mobile Design, Types of mobile application. Introduction-HTML5, CSS3, Javascript, JQuery. Android toolkit, Java for android, components of an Android Application. Eclipse Concepts and Terminology, Eclipse Views and Perspectives, Eclipse and Android, Effective java for Android Building a View, Fragments and Multiplatform Support, Drawing, Handling and Persisting Data. Basic iPhone Styling, Advanced iPhone Styling, Animation local Storage and session Storage, Client-Side Database PhoneGap tool.",SLO5 SLO6 SLO12,"Understand different mobile application models/architectures and patterns. Evaluate and contrast the requirements for mobile platforms.  Describe the components and structure of a mobile development framework. Apply mobile development framework for the development of mobile applications. Create apps for Android and iOS platform devices. Interpret a scenario to plan, design and develop a prototype as a native mobile application. Understand, design and implement the data storage of iPhone for various applications.  Develop the various mobile applications for the operating systems of android and iPhone"
14,ITE1017,Transformation Techniques,Separable Sequence - Periodic sequence - Classification of 2D Systems - 2D Convolution - 2D Z-Transform - Properties - 2D Inverse Z transform - 2D Digital Filter 2D Convolution through Graphical Method - Convolution through Z-Transform - 2D Convolution through Matrix Analysis - Circular Convolution – Applications Orthogonal sinusoidal basis function - Fourier transform - Fast FFT - Properties - Discrete Cosine transform - Discrete sine transform – Applications Non-sinusoidal orthogonal basis function - Haar Tansform - Walsh transform - Hadamard Transform - Slant Transform – Applications KL transform - Singular value decomposition – Applications Hough transform - Radon transform - Ridgelet transform - Contourlet transform – Applications Continuous Wavelet Transform - Multi-resolution Analysis - Image Compression - Image Coding  - SPIHT - JPEG2000 - Wavelet based denoising - atermarking - Applications. ,SLO1 SLO2 SLO9, Analyze the use of 2D Z Transform techniques. Understand how integral transforms can be used to solve a variety of differential equations Formulate important results and theorems of various sinusoidal orthogonal transforms Formulate important results and theorems of various non-sinusoidal orthogonal transforms. Demonstrate Statistical based and Directional transforms for automotive applications. Use directional transforms as a techniques for solving real time problems Apply Wavelet and other advanced transforms to video processing applications (surveillance)  
15,ITE2001,Computer Architecture and Organization,"Organization of the von Neumann machine; Instruction formats; Pipeline - fetch/execute cycle, instruction decoding and execution; Registers and register files; Instruction types and addressing modes; Subroutine call and return mechanisms; Other design issues. Data Representation, Hardware and software implementation of arithmetic unit for common arithmetic operations: addition, subtraction, multiplication, division( Fixed point and floating point)-floating point IEEE standards Conversion between integer and real numbers- rounding and truncation; The generation of higher order functions from square roots to transcendental functions; Representation of non-numeric data (character codes, graphical data) Memory systems hierarchy; Coding, data compression, and data integrity; Electronic, magnetic and optical technologies; Main memory organization, Types of Main memories, and its characteristics and performance; Latency, cycle time, bandwidth, and interleaving; Cache memories (address mapping, line size, replacement and write-back policies) Virtual memory systems-paging, segmentation, address mapping, page tables, page replacement algorithms; Reliability of memory systems; error detecting and error correcting systems I/O fundamentals: handshaking, buffering; I/O techniques: programmed I/O, interrupt-driven I/O, DMA; Buses: bus protocols, local and geographic arbitration. Interrupt structures: vectored and prioritized, interrupt overhead, interrupts and reentrant code External storage systems; organization and structure of disk drives and optical memory; Flash memories, Basic I/O controllers such as a keyboard and a mouse;RAID architectures; I/O Performance; SMART technology and fault detection ",SLO1 SLO2 SLO4," Learn the fundamentals of architecture in computer systems.  Learn, design and implement the various algorithms of computer arithmetic operations. Describe the various data representation techniques in number systems.  Comprehend the various architectures and organization of memory systems.  Understand the concepts of virtual memory in memory management.  Evaluate the latest technologies of memory, I/O, ALU design and instruction execution  Comprehend and understand the concepts of device subsystems in memory management."
16,ITE2002, Operating Systems ,"Computer-System Organization, Computer-System Architecture, Operating-System Structure, Operating-System Operations, Operating-System Services. User and Operating-System Interface, System Calls, Types of System Calls, System Programs. Process Concept, Process Scheduling, Operations on Processes, Inter-process communication, Multicore Programming, Multithreading Models. Scheduling: Basic Concepts, Scheduling Criteria, Scheduling Algorithms. The Critical-Section Problem, Peterson’s Solution, Semaphores, Classic Problems of Synchronization. Deadlock : Deadlock Characterization, Methods for Handling Deadlocks, Deadlock Prevention, Deadlock Avoidance, Deadlock Detection. Swapping, Contiguous Memory Allocation. Segmentation, Paging, Structure of the Page Table Demand Paging, Page Replacement, Allocation of Frames, Thrashing. File Concept, Access Methods, File-System Mounting, File-System Structure, File-System Implementation, Directory Implementation, Allocation Methods. Disk Structure, Disk Attachment, Disk Scheduling. History, Design Principles, System Components, Terminal Services and Fast User Switching,  File System, Networking, Programmer Interface Mobile operating system –An introduction to Android and its versions, iOS, Windows Phone. ",SLO2 SLO5 SLO17,"Demonstrate the knowledge on fundamental concepts of operating systems. Analyse and provide solution to process management. Develop solution for process synchronization in multiprocessing system and handle deadlocks  Apply methods to support and manage main memory, virtual memory and secondary memory  Use and apply file access, file mounting and file allocation concepts. Analyse disk management concepts. Develop applications targeted for windows and mobile operating systems. Develop and implement the various OS concepts in Linux operating system. "
17,ITE2003, Principles and Practices of Communication System ,"Review of Spectral Characteristics of Periodic and Non-periodic signals; Generation and Demodulation of AM, DSBSC, SSB and VSB Signals; Comparison of Amplitude Modulation Systems Frequency Translation; Non – Linear Distortion; Phase and Frequency Modulation; Single tone, Narrow Band and Wideband FM; Transmission Bandwidth; Generation and Demodulation of FM Signal, FDM and OFDM Review of Probability, Random Variables and Random Process; Gaussian Process Shot noise, Thermal noise and white noise; Narrow band noise, Noise margin; Noise temperature; Noise Figure Super heterodyne Radio receiver and its characteristic; SNR; Noise in DSBSC systems using coherent detection; Noise in AM system using envelope detection Envelop Detection for FM; FM threshold effect; Pre-emphasis and De-emphasis in FM; Comparison of performances. Introduction, Shannon limit for information capacity, digital amplitude modulation, frequency shift keying, FSK bit rate and baud, FSK transmitter, BW consideration of FSK, FSK receiver, phase shift keying –binary phase shift keying QPSK, Quadrature Amplitude modulation, bandwidth efficiency, carrier recovery types- squaring loop, Costas loop, DPSK. Introduction, Pulse modulation, PCM sampling, sampling rate, signal to quantization noise rate, companding analog and digital percentage error, delta modulation, adaptive delta modulation, differential pulse code modulation, pulse transmission types-Intersymbol interference, eye patterns. Satellite Communication Systems Keplers Law, LEO and GEO Orbits, footprint, Link model-Optical Communication Systems-Elements of Optical Fiber Transmission link, Types, Losses, Sources and Detectors. ",SLO2 SLO6 SLO14, Demonstrate the knowledge of fundamental elements and concepts related to Communication System.  Design and construct devices used in Communication Systems Address the challenges imposed on different types of Communication Systems. Use and apply important methods in communication systems to support both analog and digital communication. Provide solutions to digital communication by using different modulation techniques. Develop applications by using digital transmission systems. Understand the concepts of digital transmission techniques 
18,ITE2004,Software Testing,"Basic definitions-software testing principles- Role of tester- testing as a process- Overview of Testing maturity model- Defects -Hypothesis and tests Black-Box Testing Techniques- Random testing- Equivalent partitioning-Boundary Value Analysis (BVA)- Equivalence Class Testing - State Transition Testing -  Cause-Effect Graphing Based Testing - Error Guessing -Black box TMM  Maturity goals White-Box Testing Techniques- Test adequacy Criteria – coverage and control flow graphs- Basis Path Testing - - Loop Testing - Data Flow Testing - Mutation Testing Evaluating adequacy – white box and TMM levels Unit testing – Need- Functions- Plan –Design-Considerations – Test Harness, Integration testing- Goals-Strategies-Design- Plan-System testing Function test- Performance test-Stress test-Configuration test- Security test – Recovery test, Regression testing-Alpha - beta - Acceptance test- Special role of Use cases- levels of testing and TMM. Test planning- Components- Attachments-Locating test items- Test reports- Role of three critical groups-Building a test group- Structure- Technical training- Career paths- Certification- Integrating Testing Activities. Quality concepts- Cost estimation- Quality control- Role of operational Profiles and Usage models-statistical testing -Software Reliability –Measurements- applying reliability models-Confidence level-Usability Testing-Software quality control and critical views ",SLO2 SLO7," Demonstrate the knowledge of fundamentals of software testing. Test adequacy assessment using: control flow, data flow, and program mutations. Apply a wide variety of testing techniques in an effective and efficient manner. Communicate clearly and effectively use the technical language of the field correctly. Evaluate the limitations of a given testing process and provide a summary of those limitations.  Check and confirm the Quality standards. Prepare software quality plan for a software project - focussing on change management, configuration management, defect elimination, validation and verification and measurement. Have basic understanding and knowledge of contemporary issues in software testing, such as component-based software testing problems. "
19,ITE2005, Advanced Java Programming ,"Features of Java, Data Types, Variables, Operators, Arrays, Control Statements. Introducing Classes and Objects, Methods, Inheritance, Packages and Interfaces, Exception Handling, Inner classes, String Handling Multithreaded Programming, Files and IO Streams, Object Serialization ,Applets , Java GUI Programming and Event Handling, Java Networking, RMI, Reflection, Collections, Generics,Java Auto boxing and Annotations  Enterprise Java, Basic Application Structure, Using Web Containers, Creating Servlets, Configuring Servlets, Understanding HTTP methods, Using Parameters and Accepting Form Submissions, Using Init parameters, File Uploading, JDBC Creating JSPs, Using Java within JSP, Combining Servlets and JSPs, Maintaining State using Sessions, JSP 2.0 EL, Using Javabeans components in JSP Documents, JSP Custom Tag Library,  Integrating Servlets and JSP: Model View Controller Architecture  Introduction to Struts – Building a Simple Struts Application – Understanding Model, View and Controller Layer- Overview of Tiles Introduction to Java Server Faces (JSF)- JSF Application Architecture – Building a simple JSF Application - JSF Request Processing Lifecycle – The Facelets View Declaration Language – User Interface Component Model- JSF Event Model Understanding Inversion of Control (IoC), Aspect Oriented Programming (AOP) and Dependency Injection, MVC pattern for Web Applications, Spring Framework, Understanding Application Context, Bootstrapping Spring framework, Configuring Spring framework, Data Persistence, Object/relational Mapping, Hibernate ORM, Mapping Entities to Tables ",SLO2 SLO5 SLO17,"Provide a basic understanding of core Java concepts. Comprehend Java’s support in parallel programming, GUI creation and network programming. Design and develop server side programming using Servlets. Develop web applications using JSP. Understand and implement MVC architecture with Struts framework. Use JSF framework to build better user interfaces. Integrate Hibernate framework with applications for Object Relational Mapping. Design and develop advanced enterprise web applications and rich internet applications "
20,ITE2006,Data Mining Techniques ,"Data Mining – Stages of the Data Mining Process – Data Mining Knowledge Representation - Technologies – Major Issues in Data Mining- Data Warehousing- Multidimensional data – OLAP Vs OLTP Data cleaning  - Data reduction  - Data Integration - Data Transformation – Feature Selection – Dimensionality Reduction- Discretization and generating concept hierarchies Task relevant data -Interestingness measures - Representing input data and output knowledge - Visualization techniques Correlations Market Basket Analysis – Frequent Item Set Mining methods- Apriori algorithm –Generating Association Rules- A Pattern Growth Approach – Association Analysis to Correlation Analysis  Basic concepts – Bayesian Classification Methods -Decision Tree Induction – Rule based Classification -Experiments with Weka. Bayesian Belief Networks- Classification by Back propagation- Lazy Learners- Genetic Algorithm – Rough Set Approach. Basic issues in clustering  - Partitioning methods- K-means, K-Medoids - Hierarchical methods: distance-based agglomerative and divisible clustering- Density Based Methods ",SLO1 SLO2 SLO14,"Study, design and experiment the various digital logic design and architectures of microprocessors.  An ability to design and use the various combinational logic circuits.  Design and evaluate the various flip flops and counters for sequential logic circu"
21,ITE2009,Storage Technologies ,"Information storage, Evolution of storage technology and architecture, Data center infrastructure, Key challenges in managing information, Information lifecycle Components of a storage system environment, Disk drive components, Disk drive performance and fundamental laws of governing disk performance, Logical components of the Host, Application requirements and disk performance RAID and its implementation aspects, RAID array components, RAID levels and comparison, RAIP impact of disk performance, Hot spares Components of an intelligent storage system, intelligent storage array, Concepts in practice Benefits, limitations and types of direct-attached storage (DAS), Disk drive interfaces, Introduction to SCSI and its command model. Fiber channel, Evolution and components of SAN, Fiber channel (FC), connectivity, FC ports and architecture, Zoning, FC login types, FC topologies. General purpose servers versus network attached storage (NAS) devices, NAS file I/O, NAS components and implementation, NAS file-sharing protocols and I/O operations, Factors affecting NAS performance and availability ",SLO2 SLO5 SLO12,Comprehend the various concepts of information storage systems. Describe various mechanisms involved in storage systems for different environments. Understand the logic in usage of RAID for data protection for effective storage management. Learn and apply the concepts of intelligent storage in real time information systems Comprehend the direct attached storage for SCSI systems. Analyze the usage of storage area network for effective storage. Use the network storage concepts and apply for effective information storage. Understand the characteristics of various storage technologies. 
